BOL_game_id,week,player_name,position,team,proj_passingYards,proj_passingCompletions,proj_passingTouchdowns,proj_passingAttempts,proj_passingInterceptions,proj_rushingYards,proj_rushingAttempts,proj_receivingYards,proj_receivingReceptions,proj_defensiveTotalTackles,proj_defensiveSacks,proj_defensiveInterceptions,proj_rushingTouchdowns,proj_receivingTouchdowns,BetTimeStamp,NFL_game_id,officialDate,Location
259329,1,Juwan Johnson,TE,NO,,,,,,,,25.5,2.7125000000000004,,,,0.0,0.21452702702702703,2025-09-04T14:12:53.294042,2025_01_ARI_NO,2025-09-07,Home
259335,1,Jayden Higgins,WR,HOU,,,,,,,,,,,,,0.0,0.21452702702702703,2025-09-04T14:12:53.294042,2025_01_HOU_LA,2025-09-07,Away
259324,1,Sterling Shepard,WR,TB,,,,,,,,,,,,,0.0,0.21452702702702703,2025-09-04T14:12:53.294042,2025_01_TB_ATL,2025-09-07,Away
259326,1,Adonai Mitchell,WR,IND,,,,,,,,13.5,1.2,,,,0.0,0.21452702702702703,2025-09-04T14:12:53.294042,2025_01_MIA_IND,2025-09-07,Home
259327,1,Hunter Renfrow,WR,CAR,,,,,,,,,,,,,0.0,0.23519394512771996,2025-09-04T14:12:53.294042,2025_01_CAR_JAX,2025-09-07,Away
259328,1,Wan'Dale Robinson,WR,NYG,,,,,,,,37.5,3.7574999999999994,,,,0.0,0.23519394512771996,2025-09-04T14:12:53.294042,2025_01_NYG_WAS,2025-09-07,Away
259337,1,Caleb Williams,QB,CHI,219.5,21.524999999999995,1.1774999999999998,33.38999999999999,0.5,23.97,5.445,,,,,,0.23519394512771996,0.0,2025-09-04T14:12:53.294042,2025_01_MIN_CHI,2025-09-08,Home
259324,1,Ray-Ray McCloud,WR,ATL,,,,,,,,,,,,,0.0,0.23519394512771996,2025-09-04T14:12:53.294042,2025_01_TB_ATL,2025-09-07,Home
259323,1,Noah Gray,TE,KC,,,,,,,,19.5,2.145,,,,0.0,0.23519394512771996,2025-09-04T14:12:53.294042,2025_01_KC_LAC,2025-09-05,Away
259327,1,Dyami Brown,WR,JAX,,,,,,,,25.96999999999999,1.5000000000000002,,,,0.0,0.23519394512771996,2025-09-04T14:12:53.294042,2025_01_CAR_JAX,2025-09-07,Home
